cell_line	accession	rna_type	lab	file_accession	file_format	output_type	assembly	genome_annotation	biological_replicates	preferred_default	file_url
PC-3	ENCSR420NLC	total RNA-seq	Thomas Gingeras, CSHL	ENCFF182UOI	tsv	gene quantifications	hg19	V19	1	False	https://www.encodeproject.org/files/ENCFF182UOI/@@download/ENCFF182UOI.tsv
PC-3	ENCSR420NLC	total RNA-seq	Thomas Gingeras, CSHL	ENCFF485DRW	tsv	gene quantifications	hg19	V19	2	True	https://www.encodeproject.org/files/ENCFF485DRW/@@download/ENCFF485DRW.tsv
PC-3	ENCSR420NLC	total RNA-seq	Thomas Gingeras, CSHL	ENCFF250GRX	tsv	gene quantifications	GRCh38	V24	1	False	https://www.encodeproject.org/files/ENCFF250GRX/@@download/ENCFF250GRX.tsv
PC-3	ENCSR420NLC	total RNA-seq	Thomas Gingeras, CSHL	ENCFF200VPR	tsv	gene quantifications	GRCh38	V24	2	True	https://www.encodeproject.org/files/ENCFF200VPR/@@download/ENCFF200VPR.tsv
PC-3	ENCSR420NLC	total RNA-seq	Thomas Gingeras, CSHL	ENCFF970ZLV	tsv	gene quantifications	GRCh38	V29	1	False	https://www.encodeproject.org/files/ENCFF970ZLV/@@download/ENCFF970ZLV.tsv
PC-3	ENCSR420NLC	total RNA-seq	Thomas Gingeras, CSHL	ENCFF882EWJ	tsv	gene quantifications	GRCh38	V29	2	True	https://www.encodeproject.org/files/ENCFF882EWJ/@@download/ENCFF882EWJ.tsv
PC-3	ENCSR648KDM	total RNA-seq	Barbara Wold, Caltech	ENCFF617JTM	tsv	gene quantifications	GRCh38	V29	1	True	https://www.encodeproject.org/files/ENCFF617JTM/@@download/ENCFF617JTM.tsv
Karpas-422	ENCSR314LXG	total RNA-seq	Thomas Gingeras, CSHL	ENCFF300CIP	tsv	gene quantifications	hg19	V19	1	False	https://www.encodeproject.org/files/ENCFF300CIP/@@download/ENCFF300CIP.tsv
Karpas-422	ENCSR314LXG	total RNA-seq	Thomas Gingeras, CSHL	ENCFF353ZKT	tsv	gene quantifications	hg19	V19	2	True	https://www.encodeproject.org/files/ENCFF353ZKT/@@download/ENCFF353ZKT.tsv
Karpas-422	ENCSR314LXG	total RNA-seq	Thomas Gingeras, CSHL	ENCFF750TNP	tsv	gene quantifications	GRCh38	V24	2	True	https://www.encodeproject.org/files/ENCFF750TNP/@@download/ENCFF750TNP.tsv
Karpas-422	ENCSR314LXG	total RNA-seq	Thomas Gingeras, CSHL	ENCFF657WZA	tsv	gene quantifications	GRCh38	V24	1	False	https://www.encodeproject.org/files/ENCFF657WZA/@@download/ENCFF657WZA.tsv
Karpas-422	ENCSR314LXG	total RNA-seq	Thomas Gingeras, CSHL	ENCFF257LZM	tsv	gene quantifications	GRCh38	V29	2	True	https://www.encodeproject.org/files/ENCFF257LZM/@@download/ENCFF257LZM.tsv
Karpas-422	ENCSR314LXG	total RNA-seq	Thomas Gingeras, CSHL	ENCFF491FJF	tsv	gene quantifications	GRCh38	V29	1	False	https://www.encodeproject.org/files/ENCFF491FJF/@@download/ENCFF491FJF.tsv
A673	ENCSR558SEE	total RNA-seq	Barbara Wold, Caltech	ENCFF619BUB	tsv	gene quantifications	GRCh38	V29	1	True	https://www.encodeproject.org/files/ENCFF619BUB/@@download/ENCFF619BUB.tsv
A673	ENCSR558SEE	total RNA-seq	Barbara Wold, Caltech	ENCFF908DWD	tsv	gene quantifications	GRCh38	V29	2	False	https://www.encodeproject.org/files/ENCFF908DWD/@@download/ENCFF908DWD.tsv
